Id,SalePrice
2,125608.77335905316
4,254609.04257293826
6,192247.52510336982
7,200593.20296818306
17,196447.11979349836
18,314130.75085850875
22,178427.4558759243
27,126930.88829322025
31,89412.65342071447
36,134894.35194324437
39,329162.7648397217
40,245036.18296674616
42,290452.8350325888
46,211095.1616572588
53,163913.29630561805
58,158656.4426764039
61,353487.1889483343
72,279178.70130344754
79,109667.12785641883
80,193930.77268155
82,163391.02153122646
83,83283.10779746574
85,129366.99861865283
88,113663.75817766182
92,269424.75371533923
93,259612.78697654884
95,184826.54277311885
102,172015.12635514536
103,168936.48510078265
106,236270.7374594765
107,166560.28395037062
110,216650.0702165604
114,212342.55182302807
116,177997.0537737609
117,148112.67983409297
118,144639.96437033993
125,147923.86146456937
126,165055.91798064148
127,130197.87885635137
128,193678.78425175772
134,141631.12494713394
135,166777.1703354001
137,220182.23255170573
143,132020.36999546996
147,130693.39767244412
148,185516.5799289951
150,113153.87726270895
156,135653.7668206289
157,132259.56166541067
159,140187.13270144898
161,247750.579327236
167,131054.24249277065
170,120258.89409276424
171,68534.55831922454
175,127078.2673935362
179,115752.07123769101
181,104571.05056646022
186,191761.98537974304
193,169095.49420676622
194,65777.67645970787
206,120252.58832013338
208,131938.55870379973
210,170380.53645797886
211,68587.53865864548
212,103792.52740918708
214,102141.7592580566
215,137237.2866465718
217,164155.6397507123
222,147438.14590032818
227,153792.94008024054
228,157920.22297851526
233,238212.09649530696
235,176279.98996139012
238,135605.07294072193
241,167218.54095636358
252,174526.25170849793
253,174745.92485660105
256,128409.03968993812
257,147336.95960007288
258,180273.67486196672
259,181447.18587025013
261,141963.31906963917
263,114224.0177706185
266,215860.21699555998
267,222975.42715262374
270,144888.1374361788
271,250106.84750720666
276,107463.29095111876
285,133995.4597168087
288,86140.38108024882
289,136512.4914980738
290,119829.24566256639
291,135737.6965211549
292,120787.11416345471
293,180524.66613154355
294,205503.1037040603
295,185753.89473397096
304,146026.24499002862
322,313304.44195223646
326,174435.17601989117
327,99069.52463046776
328,134069.94222319385
331,73993.13235287386
332,83525.10789543384
333,93843.97240488486
335,141712.12219019933
337,197205.13211318932
342,119263.81849981521
343,168469.16736903324
347,167907.65672579085
350,336616.3859975465
352,195440.29722837373
358,177469.01285330535
359,178361.8335004897
360,155686.30079159563
368,313347.1913536307
369,264134.22772020055
373,173956.38675052964
377,228224.74012832736
383,184686.97111735336
386,233298.43699855875
387,228650.30754425243
390,151757.9191520363
391,143349.5828720095
395,145987.68359305666
397,122813.62212081107
398,120340.35124124313
401,123663.20037528018
404,97150.18434313819
408,102473.68287609646
409,118968.96180607306
410,136994.49562315087
418,98450.21226601304
422,374857.04388772394
427,356089.3609177092
431,335585.6499600839
433,402909.7985219582
437,386907.5886105028
438,296377.83834220585
442,319916.62601887167
447,218268.36007762238
459,308104.9237590264
460,252821.0309832485
464,187763.72326588602
465,181115.71477073702
467,187564.9948003381
468,194380.71606780877
474,162358.7081047789
480,198107.27514789192
481,194083.32558513997
